"ProvRoute","Year","Ponds"
"4319",1970,90
"4319",1971,34
"4319",1972,27
"4319",1973,26.5
"4319",1974,91
"4319",1975,30
"4319",1976,21
"4319",1977,12
"4319",1978,15
"4319",1979,19
"4319",1980,36.5
"4319",1981,14.5
"4319",1982,19.5
"4319",1983,21.5
"4319",1984,21.5
"4319",1985,105
"4319",1986,21.5
"4319",1987,32
"4319",1988,13.5
"4319",1989,27
"4319",1990,54
"4319",1991,36
"4319",1992,36.5
"4319",1993,38
"4319",1994,47.5
"4319",1995,28
"4319",1996,49
"4319",1997,33.5
"4319",1998,14.5
"4319",1999,19.5
"4319",2000,36
"4319",2001,17
"4319",2002,14
"4319",2003,29
"4319",2004,14
"4319",2005,46.5
"4319",2006,50.5
"4319",2007,43.5
"4319",2008,19
"4319",2009,13
"4319",2010,24.5
"4319",2011,59
"4319",2012,27
"4319",2013,78.5
"4319",2014,46
"4319",2015,28.5
"4319",2016,27.5
"4319",2017,30
"4319",2018,34
"4319",2019,23.5
"4319",2022,16
"4318",1969,28.6666666666667
"4318",1970,30.3333333333333
"4318",1971,35
"4318",1972,24
"4318",1973,17
"4318",1974,55
"4318",1975,19
"4318",1976,22.6666666666667
"4318",1977,15.3333333333333
"4318",1978,10.6666666666667
"4318",1979,24
"4318",1980,11.6666666666667
"4318",1981,9
"4318",1982,14.6666666666667
"4318",1983,19.3333333333333
"4318",1984,19.6666666666667
"4318",1985,49
"4318",1986,20.3333333333333
"4318",1987,28.3333333333333
"4318",1988,5.66666666666667
"4318",1989,6
"4318",1990,24.6666666666667
"4318",1991,15.3333333333333
"4318",1992,18
"4318",1993,31
"4318",1994,41.3333333333333
"4318",1995,19.3333333333333
"4318",1996,22.6666666666667
"4318",1997,29.6666666666667
"4318",1998,10
"4318",1999,7.66666666666667
"4318",2000,12.6666666666667
"4318",2001,7.33333333333333
"4318",2002,4.33333333333333
"4318",2003,11.6666666666667
"4318",2004,5.33333333333333
"4318",2005,29
"4318",2006,56
"4318",2007,29.6666666666667
"4318",2008,16.6666666666667
"4318",2009,7.66666666666667
"4318",2010,7.66666666666667
"4318",2011,32.3333333333333
"4318",2012,13.3333333333333
"4318",2013,47.6666666666667
"4318",2014,25.3333333333333
"4318",2015,33
"4318",2016,16.3333333333333
"4318",2017,21
"4318",2018,32.3333333333333
"4318",2019,22.3333333333333
"4318",2022,17.6666666666667
"4313",1969,23
"4313",1970,29.6666666666667
"4313",1971,30.3333333333333
"4313",1972,11.6666666666667
"4313",1973,13.6666666666667
"4313",1974,35
"4313",1975,14.3333333333333
"4313",1976,18
"4313",1977,4.66666666666667
"4313",1978,10
"4313",1979,9
"4313",1980,26
"4313",1981,14.6666666666667
"4313",1982,14
"4313",1983,10
"4313",1984,10.6666666666667
"4313",1985,41.3333333333333
"4313",1986,5.33333333333333
"4313",1987,11.3333333333333
"4313",1988,8.66666666666667
"4313",1989,13.6666666666667
"4313",1990,14.6666666666667
"4313",1991,11.3333333333333
"4313",1992,10.3333333333333
"4313",1993,30.6666666666667
"4313",1994,28.3333333333333
"4313",1995,12.3333333333333
"4313",1996,29.3333333333333
"4313",1997,47
"4313",1998,13.6666666666667
"4313",1999,12.3333333333333
"4313",2000,17.6666666666667
"4313",2001,12
"4313",2002,10
"4313",2003,38.6666666666667
"4313",2004,12.3333333333333
"4313",2005,15.6666666666667
"4313",2006,47.3333333333333
"4313",2007,49.6666666666667
"4313",2008,22.3333333333333
"4313",2009,16.6666666666667
"4313",2010,18.6666666666667
"4313",2011,41.3333333333333
"4313",2012,13
"4313",2013,37.6666666666667
"4313",2014,48
"4313",2015,26.6666666666667
"4313",2016,23.6666666666667
"4313",2017,29.3333333333333
"4313",2018,33.6666666666667
"4313",2019,23.3333333333333
"4313",2022,9.33333333333333
"4312",1969,11.25
"4312",1970,16.75
"4312",1971,22.75
"4312",1972,10
"4312",1973,14.75
"4312",1974,49
"4312",1975,21.75
"4312",1976,15
"4312",1977,6.5
"4312",1978,12
"4312",1979,16.75
"4312",1980,19.25
"4312",1981,9.75
"4312",1982,14.5
"4312",1983,13
"4312",1984,14.5
"4312",1985,49
"4312",1986,10.75
"4312",1987,24.5
"4312",1988,8
"4312",1989,20
"4312",1990,24
"4312",1991,11.5
"4312",1992,15.5
"4312",1993,36.75
"4312",1994,29.25
"4312",1995,15.25
"4312",1996,27.75
"4312",1997,37
"4312",1998,10.25
"4312",1999,12.75
"4312",2000,18.75
"4312",2001,11.75
"4312",2002,14.5
"4312",2003,41.5
"4312",2004,11.25
"4312",2005,24.75
"4312",2006,35.5
"4312",2007,59.75
"4312",2008,17.75
"4312",2009,11.25
"4312",2010,23.25
"4312",2011,43
"4312",2012,17
"4312",2013,44.5
"4312",2014,39.25
"4312",2015,20.25
"4312",2016,22.5
"4312",2017,29.25
"4312",2018,30.5
"4312",2019,21.75
"4312",2022,14.25
"4314",1969,19.6666666666667
"4314",1970,22.6666666666667
"4314",1971,9.66666666666667
"4314",1972,11
"4314",1973,10.6666666666667
"4314",1974,26
"4314",1975,13.3333333333333
"4314",1976,9.66666666666667
"4314",1977,7
"4314",1978,10
"4314",1979,9.66666666666667
"4314",1980,16.6666666666667
"4314",1981,13.6666666666667
"4314",1982,11
"4314",1983,8
"4314",1984,10.6666666666667
"4314",1985,12.6666666666667
"4314",1986,10.6666666666667
"4314",1987,18
"4314",1988,10
"4314",1989,12.6666666666667
"4314",1990,11.3333333333333
"4314",1991,11
"4314",1992,8.33333333333333
"4314",1993,19
"4314",1994,12.3333333333333
"4314",1995,13.3333333333333
"4314",1996,19
"4314",1997,16.6666666666667
"4314",1998,15.3333333333333
"4314",1999,10.3333333333333
"4314",2000,12.3333333333333
"4314",2001,10
"4314",2002,12.6666666666667
"4314",2003,16.3333333333333
"4314",2004,10.6666666666667
"4314",2005,13
"4314",2006,20.3333333333333
"4314",2007,34.6666666666667
"4314",2008,14
"4314",2009,16.6666666666667
"4314",2010,15.6666666666667
"4314",2011,23
"4314",2012,13
"4314",2013,21
"4314",2014,25
"4314",2015,14.6666666666667
"4314",2016,15
"4314",2017,17.6666666666667
"4314",2018,17.3333333333333
"4314",2019,16.3333333333333
"4314",2022,13
"4309",1969,10.5
"4309",1970,4.25
"4309",1971,8
"4309",1972,8.5
"4309",1973,8.5
"4309",1974,11
"4309",1975,14
"4309",1976,10.75
"4309",1977,4.25
"4309",1978,9.75
"4309",1979,9.5
"4309",1980,7.75
"4309",1981,7
"4309",1982,6.5
"4309",1983,6.25
"4309",1984,6
"4309",1985,7.25
"4309",1986,6.75
"4309",1987,5.5
"4309",1988,6
"4309",1989,7.75
"4309",1990,7.5
