"Year","Route","prec","maxt"
1960,"4001",63524.6000041962,26.3124465942383
1960,"4002",64618.4400115013,26.545873911667
1960,"4003",67370.4199533463,24.0073162610636
1960,"4004",60165.2600092888,24.8209776629727
1960,"4006",69058.4700183868,26.4150655592043
1960,"4007",70064.2900924683,25.9179406335909
1960,"4008",67792.3700113297,25.8367672603208
1960,"4009",70431.3899202347,24.5204826990763
1960,"4011",78294.8299770355,25.1997991874249
1960,"4012",75093.9399032593,25.1576764947927
1960,"4013",89010.4900093079,23.6613474400334
1960,"4018",115394.890071869,23.5190191103352
1960,"4019",105500.050077438,23.3648955691265
1960,"4020",106950.429918289,23.100911847792
1960,"4021",121126.599960327,22.6976426932807
1960,"4022",136331.350028992,21.5410776571037
1960,"4026",181911.749763489,21.911955606598
1960,"4027",191702.009811401,21.9305478929227
1960,"4028",185077.979896545,21.6835563961504
1960,"4029",206690.469940186,21.4924927011808
1960,"4030",205513.830055237,21.7103924006852
1960,"4060",206273.63004303,21.7114207599282
1960,"4081",63286.7799901962,26.1334493782306
1960,"4101",58562.799975872,25.87803093257
1960,"4102",68517.2000236511,26.292640634605
1960,"4103",68262.6900448799,26.0551160459952
1960,"4104",62808.3600296974,25.0673703802956
1960,"4106",75596.4500198364,26.3888459839218
1960,"4107",65443.749961853,25.900817528219
1960,"4108",67823.2900133133,25.8393378993692
1960,"4109",78258.8600187302,23.7419854435113
1960,"4110",90948.9699649811,22.8728435429856
1960,"4111",94964.9599761963,24.926480993141
1960,"4112",92711.4599723816,24.2031260865496
1960,"4113",81109.7599601746,23.4555585031741
1960,"4114",103892.039913177,22.4812016175172
1960,"4115",119449.490100861,22.0019558576032
1960,"4118",149258.999927521,23.0838222746946
1960,"4119",134664.170028687,22.9265810983223
1960,"4120",133958.589813232,23.1468256126155
1960,"4121",165566.800018311,21.7749828609934
1960,"4122",150521.210041046,21.5099090989018
1960,"4126",159352.569847107,22.5942123032426
1960,"4127",161747.369838715,22.3366793513096
1960,"4128",154203.390113831,22.5980843243167
1960,"4129",187376.919822693,21.6202827059267
1960,"4130",208914.16985321,21.6705140983109
1960,"4201",78956.8500671387,23.9129085113354
1960,"4202",63440.9100646973,26.3476605797619
1960,"4203",69725.9799776077,25.1094685481145
1960,"4204",64305.7400145531,22.5855258261094
1960,"4206",68190.2199687958,26.6698942671151
1960,"4207",67797.3500270844,26.3870119828985
1960,"4208",63785.1499528885,25.4829889819423
1960,"4209",73000.8300304413,24.1436156774913
1960,"4211",81158.6000595093,25.4038955819548
1960,"4212",87178.5399990082,23.8015719824875
1960,"4213",64885.1599826813,25.0214535630621
1960,"4214",94661.7398986816,22.9194696973777
1960,"4218",125799.24005127,23.9375604504337
1960,"4219",123661.350030899,23.2572876303913
1960,"4220",138439.620018005,22.8848171923237
1960,"4221",149859.720066071,22.1296502650299
1960,"4222",152916.090106964,21.6816904428353
1960,"4226",159639.819950104,22.6948766781359
1960,"4227",199716.370155334,21.5405645493206
1960,"4228",191591.84992981,21.8507008455075
1960,"4229",189099.350013733,21.7549510369559
1960,"4301",66808.4900159836,25.6184403918531
1960,"4302",65302.3200201988,26.3815079510045
1960,"4303",69148.4100012779,25.5530056114054
1960,"4304",60323.3100066185,23.2337482710263
1960,"4306",72906.6800251007,26.3031645903998
1960,"4307",64339.9299583435,25.8339069456051
1960,"4308",67772.379983902,25.0635192966245
1960,"4309",66599.4799804688,24.7213213667685
1960,"4311",78784.2099723816,25.0812108983303
1960,"4312",77305.0899429321,24.5604349729806
1960,"4313",73637.9499607086,23.9912165575486
1960,"4314",83810.9800262451,24.0374855182412
1960,"4318",104311.430017471,23.924746957749
1960,"4319",102998.250022888,23.0943468842979
1960,"4320",143894.37008667,22.823141300724
1960,"4321",143218.689857483,22.7262138960535
1960,"4322",141833.810073853,21.5502042608746
1960,"4326",198639.8800354,21.5655031097602
1960,"4327",183234.999923706,21.9240344245328
1960,"4328",168258.789875031,22.2020509675303
1960,"4329",184693.199939728,21.8744005127018
1960,"4330",214251.170013428,21.5326548776092
1960,"4401",66808.4900159836,25.6184403918531
1960,"4407",69959.380074501,25.9088767064761
1960,"4408",64207.579957962,25.5794037712945
1960,"4411",68669.8299751282,26.3598145692395
1960,"4412",81077.8799476624,24.7831149798239
1960,"4413",68641.6800041199,24.6947599085935
1960,"4414",95649.090013504,23.4437488906685
1960,"4421",116944.629985809,22.7601960899004
1960,"4429",188240.359817505,21.6041329974679
1960,"4430",193705.920257568,21.2868113998861
1960,"45003",113968.969896317,25.9351083527737
1960,"45005",112103.36979866,25.711072606066
1960,"45007",103128.939868927,25.5508570047942
1960,"45009",107823.669975281,25.5326177000775
1960,"4501",69127.2300424576,26.3397015658292
1960,"45011",103828.039943695,25.5301779182663
1960,"45014",127335.599910736,24.9848774739343
1960,"45016",126280.879962921,23.871722756613
1960,"45018",102268.78002739,24.5225300132843
1960,"45020",98411.4899806976,25.2251985035665
1960,"45021",98954.4000053406,25.3436442446262
1960,"45022",93041.0400180817,24.3072606426604
1960,"45026",96615.1800251007,23.8646720072902
1960,"45043",116034.169895172,23.9193022969564
1960,"4508",63427.4999485016,25.2665451854615
1960,"45103",121805.929956436,25.2552020262971
1960,"45105",106026.560062408,25.2264198901711
1960,"45107",111264.069982529,24.9377935826778
1960,"45109",103450.899900436,25.6159851523423
1960,"4511",68788.029964447,26.3616169814926
1960,"45111",109397.33993721,26.0505915297029
1960,"45116",113269.310070038,24.9050848251196
1960,"45118",103200.679985046,24.5251474151265
1960,"4512",46911.1399979591,27.0688606538791
1960,"45120",103492.219989777,23.5849255582046
1960,"45121",95380.179983139,25.094694247191
1960,"45124",105255.699935913,24.0032800386217
1960,"45142",143034.719936371,24.0363705525114
1960,"45203",113378.239957809,26.4261239177326
1960,"45205",108794.670013428,25.3687904213048
1960,"45207",103729.579990387,25.4316125958527
1960,"45209",110347.020017624,25.8483262230686
1960,"45211",107784.049907684,25.7874941402161
1960,"45214",133898.439979553,23.8273697816164
1960,"45216",105773.220077515,25.2252505615936
1960,"45218",106044.139944077,24.6702992613144
1960,"45220",99442.5300140381,23.6086212997264
1960,"45242",143353.519973755,24.0255976252369
1960,"45305",111247.95995903,25.2657295893956
1960,"45307",101548.769996643,25.4755291438603
1960,"45309",113660.370038986,24.9938068155086
1960,"45311",108700.929893494,25.7781657488874
1960,"45314",124695.879930496,25.0026129805211
1960,"45320",100747.690015793,24.1908424782666
1960,"45403",113674.159908295,25.9659768652033
1960,"45414",131435.609981537,24.1704715820468
1960,"45514",144106.31003952,23.8700588909677
1960,"45614",130177.309951782,23.8284681648984
1960,"4604",59923.1400160789,24.8270079571268
1960,"4608",67906.9799594879,24.9948707693018
1960,"4612",48134.4700155258,26.9037859582609
1960,"4712",47592.3200087547,26.9408108298391
1960,"4812",93964.1699771881,24.1421488203807
1960,"4928",189720.280136108,21.7669468667905
1960,"79001",105123.719978333,25.2576591914959
1960,"79002",105027.9400177,25.0218901332308
1960,"79003",104116.830028534,25.3940896373503
1960,"79004",114122.350002289,25.2018694702006
1960,"79005",125021.899969101,25.0824895513019
1960,"79006",111666.2602005,25.5504908889407
1960,"79007",88509.9999599457,26.0842225289656
1960,"79009",85259.5398750305,24.9965695907162
1960,"79010",89614.6299648285,24.755914412318
1960,"79011",86202.3900279999,24.8100452967312
1960,"79012",96553.8500881195,24.6876203649802
1960,"79013",115547.680051804,25.355750582602
1960,"79014",116472.540002823,25.4441263103001
1960,"79015",111238.069999695,25.3208265631933
1960,"79016",118390.000053406,24.9036634498537
1960,"79017",95501.0699558258,25.9864583283231
1960,"79019",88297.0899963379,24.5720489196777
1960,"79020",92622.2298536301,24.4498620340969
